"season_year","season_type","game_date","game_id","team_id","team_abbreviation","matchup","event","win_tip_prob_xtip","spread","ftts","ftts_prob_glmnet","ftts_prob_earth","model","ftts_prob"
"2018-19","Regular Season",2018-10-23,"0021800051","1610612743","DEN","DEN vs. SAC","fgm",0.625735287022893,-12,FALSE,0.528695215947222,0.572967001449393,"fgm",0.550831108698307
"2018-19","Regular Season",2018-10-23,"0021800049","1610612755","PHI","PHI @ DET","fgm",0.248976197974991,-1,FALSE,0.463734300698882,0.461760393922355,"fgm",0.462747347310618
"2018-19","Regular Season",2018-10-23,"0021800049","1610612765","DET","DET vs. PHI","fgm",0.751023802025009,1,TRUE,0.533725791919332,0.540695179093383,"fgm",0.537210485506358
"2018-19","Regular Season",2018-10-23,"0021800050","1610612746","LAC","LAC @ NOP","fgm",0.792951380395676,5.5,FALSE,0.539015302496966,0.509065286018039,"fgm",0.524040294257503
"2018-19","Regular Season",2018-10-23,"0021800051","1610612758","SAC","SAC @ DEN","fgm",0.374264712977107,12,TRUE,0.467736458135991,0.27053446669378,"fgm",0.369135462414886
"2018-19","Regular Season",2018-10-24,"0021800052","1610612737","ATL","ATL vs. DAL","points",0.296159233627975,2,FALSE,0.46015822778297,0.416754384483306,"points",0.438456306133138
"2018-19","Regular Season",2018-10-24,"0021800053","1610612739","CLE","CLE vs. BKN","points",0.369517327652635,-2.5,TRUE,0.474902881848418,0.444723892313701,"points",0.45981338708106
"2018-19","Regular Season",2018-10-24,"0021800054","1610612748","MIA","MIA vs. NYK","points",0.700426589967739,-8,TRUE,0.552422698520066,0.662354938194066,"points",0.607388818357066
"2018-19","Regular Season",2018-10-24,"0021800056","1610612741","CHI","CHI vs. CHA","points",0.572722580957372,4,FALSE,0.506551721549686,0.467690105599881,"points",0.487120913574784
"2018-19","Regular Season",2018-10-24,"0021800061","1610612758","SAC","SAC vs. MEM","points",0.31845255219722,3,TRUE,0.458182232981496,0.352128771519905,"points",0.4051555022507
"2018-19","Regular Season",2018-10-24,"0021800055","1610612750","MIN","MIN @ TOR","points",0.519629271466826,8.5,FALSE,0.491206517310877,0.404465830639274,"points",0.447836173975076
"2018-19","Regular Season",2018-10-24,"0021800058","1610612754","IND","IND @ SAS","points",0.628417218157251,1.5,FALSE,0.523039682116865,0.542761138463334,"points",0.5329004102901
"2018-19","Regular Season",2018-10-24,"0021800060","1610612747","LAL","LAL @ PHX","points",0.213814743798055,-5,TRUE,0.452574916053926,0.4708993910608,"points",0.461737153557363
"2018-19","Regular Season",2018-10-24,"0021800055","1610612761","TOR","TOR vs. MIN","points",0.480370728533174,-8.5,TRUE,0.50919491970061,0.559479617949035,"points",0.534337268824823
"2018-19","Regular Season",2018-10-24,"0021800058","1610612759","SAS","SAS vs. IND","points",0.371582781842749,-1.5,TRUE,0.476298199349521,0.433380100688036,"points",0.454839150018779
"2018-19","Regular Season",2018-10-24,"0021800060","1610612756","PHX","PHX vs. LAL","points",0.786185256201945,5,FALSE,0.545483981581706,0.568618612293619,"points",0.557051296937663
"2018-19","Regular Season",2018-10-24,"0021800052","1610612742","DAL","DAL @ ATL","points",0.703840766372025,-2,TRUE,0.539661845415018,0.528805624969617,"points",0.534233735192318
"2018-19","Regular Season",2018-10-24,"0021800053","1610612751","BKN","BKN @ CLE","points",0.630482672347365,2.5,FALSE,0.521244026865189,0.553856537487216,"points",0.537550282176202
"2018-19","Regular Season",2018-10-24,"0021800054","1610612752","NYK","NYK @ MIA","points",0.299573410032261,8,FALSE,0.44612018368083,0.488289233650547,"points",0.467204708665689
"2018-19","Regular Season",2018-10-24,"0021800056","1610612766","CHA","CHA @ CHI","points",0.427277419042628,-4,TRUE,0.49082568851,0.543808253803046,"points",0.517316971156523
