"game_date","game","player_name","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model"
2023-10-27,"GSW @ SAC","Kevon Looney",2023-10-28 01:34:19,"mgm",0.8333,-500,-0.1508,-0.4525,-22.6233,0.6825,-215
2023-10-27,"ORL @ POR","Deandre Ayton",2023-10-28 01:34:19,"mgm",0.75,-300,-0.0821,-0.1642,-8.209,0.6679,-201
2023-10-27,"GSW @ SAC","Domantas Sabonis",2023-10-28 01:34:19,"mgm",0.25,300,0.0675,0.045,2.2496,0.3175,215
2023-10-27,"ORL @ POR","Wendell Carter Jr.",2023-10-28 02:03:11,"mgm",0.3226,210,0.0095,0.007,0.351,0.3321,201
2023-10-27,"GSW @ SAC","Kevon Looney",2023-10-28 02:03:11,"mgm",0.8333,-500,-0.1508,-0.4525,-22.6233,0.6825,-215
2023-10-27,"ORL @ POR","Deandre Ayton",2023-10-28 02:03:11,"mgm",0.75,-300,-0.0821,-0.1642,-8.209,0.6679,-201
2023-10-27,"GSW @ SAC","Domantas Sabonis",2023-10-28 02:03:11,"mgm",0.25,300,0.0675,0.045,2.2496,0.3175,215
2023-10-27,"ORL @ POR","Wendell Carter Jr.",2023-10-28 02:30:47,"mgm",0.3226,210,0.0095,0.007,0.351,0.3321,201
2023-10-27,"GSW @ SAC","Kevon Looney",2023-10-28 02:30:47,"mgm",0.8333,-500,-0.1508,-0.4525,-22.6233,0.6825,-215
2023-10-27,"ORL @ POR","Deandre Ayton",2023-10-28 02:30:47,"mgm",0.75,-300,-0.0821,-0.1642,-8.209,0.6679,-201
2023-10-27,"GSW @ SAC","Domantas Sabonis",2023-10-28 02:30:47,"mgm",0.25,300,0.0675,0.045,2.2496,0.3175,215
2023-10-27,"ORL @ POR","Wendell Carter Jr.",2023-10-28 03:00:15,"mgm",0.3226,210,0.0095,0.007,0.351,0.3321,201
2023-10-27,"GSW @ SAC","Kevon Looney",2023-10-28 03:00:15,"mgm",0.8333,-500,-0.1508,-0.4525,-22.6233,0.6825,-215
2023-10-27,"ORL @ POR","Deandre Ayton",2023-10-28 03:00:15,"mgm",0.75,-300,-0.0821,-0.1642,-8.209,0.6679,-201
2023-10-27,"GSW @ SAC","Domantas Sabonis",2023-10-28 03:00:15,"mgm",0.25,300,0.0675,0.045,2.2496,0.3175,215
2023-10-28,"NYK @ NOP","Jonas Valanciunas",2023-10-28 17:30:28,"mgm",0.4762,110,-0.035,-0.0335,-1.6728,0.4411,127
2023-10-28,"IND @ CLE","Evan Mobley",2023-10-28 17:30:28,"mgm",0.6667,-200,-0.0349,-0.0523,-2.6148,0.6318,-172
2023-10-28,"UTA @ PHX","Jusuf Nurkic",2023-10-28 17:30:28,"mgm",0.7778,-350,-0.0408,-0.0919,-4.5938,0.7369,-280
2023-10-28,"CHI @ DET","Nikola Vucevic",2023-10-28 17:30:28,"mgm",0.5918,-145,-0.1462,-0.179,-8.9519,0.4457,124
2023-10-28,"MIA @ MIN","Bam Adebayo",2023-10-28 17:30:28,"mgm",0.5455,-120,-0.1086,-0.1195,-5.9751,0.4368,129
2023-10-28,"CHI @ DET","Jalen Duren",2023-10-28 17:30:28,"mgm",0.4762,110,0.0781,0.0746,3.7288,0.5543,-124
2023-10-28,"MIA @ MIN","Rudy Gobert",2023-10-28 17:30:28,"mgm",0.5238,-110,0.0394,0.0413,2.0671,0.5632,-129
2023-10-28,"NYK @ NOP","Mitchell Robinson",2023-10-28 17:30:28,"mgm",0.5918,-145,-0.033,-0.0404,-2.0199,0.5589,-127
2023-10-28,"IND @ CLE","Myles Turner",2023-10-28 17:30:28,"mgm",0.4,150,-0.0318,-0.0265,-1.3251,0.3682,172
2023-10-28,"UTA @ PHX","Walker Kessler",2023-10-28 17:30:28,"mgm",0.3125,220,-0.0494,-0.036,-1.798,0.2631,280
2023-10-28,"NYK @ NOP","Jonas Valanciunas",2023-10-28 18:00:33,"mgm",0.4762,110,-0.035,-0.0335,-1.6728,0.4411,127
2023-10-28,"IND @ CLE","Evan Mobley",2023-10-28 18:00:33,"mgm",0.6667,-200,-0.0349,-0.0523,-2.6148,0.6318,-172
2023-10-28,"UTA @ PHX","Jusuf Nurkic",2023-10-28 18:00:33,"mgm",0.7778,-350,-0.0408,-0.0919,-4.5938,0.7369,-280
2023-10-28,"CHI @ DET","Nikola Vucevic",2023-10-28 18:00:33,"mgm",0.5918,-145,-0.1462,-0.179,-8.9519,0.4457,124
2023-10-28,"MIA @ MIN","Bam Adebayo",2023-10-28 18:00:33,"mgm",0.5455,-120,-0.1086,-0.1195,-5.9751,0.4368,129
2023-10-28,"CHI @ DET","Jalen Duren",2023-10-28 18:00:33,"mgm",0.4762,110,0.0781,0.0746,3.7288,0.5543,-124
2023-10-28,"MIA @ MIN","Rudy Gobert",2023-10-28 18:00:33,"mgm",0.5238,-110,0.0394,0.0413,2.0671,0.5632,-129
2023-10-28,"NYK @ NOP","Mitchell Robinson",2023-10-28 18:00:33,"mgm",0.5918,-145,-0.033,-0.0404,-2.0199,0.5589,-127
2023-10-28,"IND @ CLE","Myles Turner",2023-10-28 18:00:33,"mgm",0.4,150,-0.0318,-0.0265,-1.3251,0.3682,172
2023-10-28,"UTA @ PHX","Walker Kessler",2023-10-28 18:00:33,"mgm",0.3125,220,-0.0494,-0.036,-1.798,0.2631,280
2023-10-28,"NYK @ NOP","Jonas Valanciunas",2023-10-28 18:30:25,"mgm",0.4762,110,-0.035,-0.0335,-1.6728,0.4411,127
2023-10-28,"IND @ CLE","Evan Mobley",2023-10-28 18:30:25,"mgm",0.6667,-200,-0.0349,-0.0523,-2.6148,0.6318,-172
2023-10-28,"UTA @ PHX","Jusuf Nurkic",2023-10-28 18:30:25,"mgm",0.7778,-350,-0.0408,-0.0919,-4.5938,0.7369,-280
2023-10-28,"CHI @ DET","Nikola Vucevic",2023-10-28 18:30:25,"mgm",0.5918,-145,-0.1462,-0.179,-8.9519,0.4457,124
2023-10-28,"MIA @ MIN","Bam Adebayo",2023-10-28 18:30:25,"mgm",0.5455,-120,-0.1086,-0.1195,-5.9751,0.4368,129
2023-10-28,"CHI @ DET","Jalen Duren",2023-10-28 18:30:25,"mgm",0.4762,110,0.0781,0.0746,3.7288,0.5543,-124
2023-10-28,"MIA @ MIN","Rudy Gobert",2023-10-28 18:30:25,"mgm",0.5238,-110,0.0394,0.0413,2.0671,0.5632,-129
2023-10-28,"NYK @ NOP","Mitchell Robinson",2023-10-28 18:30:25,"mgm",0.5918,-145,-0.033,-0.0404,-2.0199,0.5589,-127
2023-10-28,"IND @ CLE","Myles Turner",2023-10-28 18:30:25,"mgm",0.4,150,-0.0318,-0.0265,-1.3251,0.3682,172
