"date","book","game","prop_type","bet_level_1","bet_level_2","bet_level_3","bet_location","bet_status","prob_model","line_model","prob_book","line_book","edge","kelly","units","run_timestamp_utc","timestamp_id","play","result","units_bet","units_net"
2023-10-24,"MGM","PHX @ GSW","FPTS Team","First FGM","Player","Team","Home/Away","Favorite/Underdog",0.142,604,0.1176,750,0.0244,0.0138,1.3815,2023-10-24 23:21:00,1,"Grayson Allen","Loss",1.3815,-1.3815
2023-10-24,"MGM","PHX @ GSW","FPTS Team","First FGM","Player","Team","Home/Away","Favorite/Underdog",0.1412,608,0.1111,800,0.0301,0.017,1.6951,2023-10-24 23:21:00,1,"Josh Okogie","Loss",1.6951,-1.6951
2023-10-24,"FanDuel","PHX @ GSW","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.2556,291,0.2174,360,0.0382,0.0244,2.4403,2023-10-24 23:21:00,1,"Jusuf Nurkic","Win",2.4403,8.78508
2023-10-24,"FanDuel","PHX @ GSW","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.2556,291,0.2041,390,0.0515,0.0324,3.2357,2023-10-25 00:51:27,2,"Jusuf Nurkic","Win",0.7954,3.10206
2023-10-24,"FanDuel","PHX @ GSW","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1915,422,0.1818,450,0.0097,0.0059,0.5907,2023-10-24 23:21:00,1,"Kevon Looney","Loss",0.5907,-0.5907
2023-10-24,"FanDuel","PHX @ GSW","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1915,422,0.1667,500,0.0248,0.0149,1.489,2023-10-25 00:51:27,2,"Kevon Looney","Loss",0.8983,-0.8983
2023-10-24,"PointsBet","PHX @ GSW","FTTS","First Points","Team","Quarter","Home/Away","Favorite/Underdog",0.4517,121,0.4082,145,0.0435,0.0368,1.8394,2023-10-24 23:21:00,1,"1Q_GSW","Loss",1.8394,-1.8394
2023-10-25,"MGM","ATL @ CHA","FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.1031,870,0.1,900,0.0031,0.0017,0.174,2023-10-25 20:46:03,1,"De'Andre Hunter","Loss",0.174,-0.174
2023-10-25,"FanDuel","ATL @ CHA","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1118,794,0.1111,800,7e-04,4e-04,0.0387,2023-10-25 20:46:03,1,"Mark Williams","Loss",0.0387,-0.0387
2023-10-25,"FanDuel","ATL @ CHA","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0903,1007,0.0833,1100,0.007,0.0038,0.381,2023-10-25 20:46:03,1,"Saddiq Bey","Loss",0.381,-0.381
2023-10-25,"FanDuel","ATL @ CHA","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0906,1003,0.0833,1100,0.0073,0.004,0.3977,2023-10-25 23:11:45,3,"Saddiq Bey","Loss",0.0167,-0.0167
2023-10-25,"FanDuel","ATL @ CHA","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1009,892,0.1,900,9e-04,5e-04,0.0473,2023-10-25 20:46:03,1,"Terry Rozier","Loss",0.0473,-0.0473
2023-10-25,"FanDuel","ATL @ CHA","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0212,4619,0.0116,8500,0.0096,0.0048,0.4837,2023-10-25 20:46:03,1,"Clint Capela_other_fg","Loss",0.4837,-0.4837
2023-10-25,"FanDuel","ATL @ CHA","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0213,4603,0.0116,8500,0.0096,0.0049,0.4873,2023-10-25 23:11:45,3,"Clint Capela_other_fg","Loss",0.00359999999999999,-0.00359999999999999
