"game_id","period","period_clock","player1_id","player1_team","player2_id","player2_team","opening_tip","center_court","tip_win_player_id","tip_win_team_id"
41500161,1,720S,203500,1610612760,1626257,1610612742,TRUE,TRUE,203500,1610612760
41500161,2,2S,201142,1610612760,101109,1610612742,FALSE,FALSE,201142,1610612760
41500162,1,720S,203500,1610612760,2585,1610612742,TRUE,TRUE,203500,1610612760
41500163,1,720S,2585,1610612742,203500,1610612760,TRUE,TRUE,203500,1610612760
41500164,1,720S,2585,1610612742,203500,1610612760,TRUE,TRUE,203500,1610612760
41500165,1,720S,203500,1610612760,2585,1610612742,TRUE,TRUE,203500,1610612760
41500165,4,26S,201566,1610612760,1626147,1610612742,FALSE,FALSE,1626147,1610612742
41500171,1,720S,201599,1610612746,203486,1610612757,TRUE,TRUE,201599,1610612746
41500171,1,179S,101108,1610612746,203943,1610612757,FALSE,FALSE,101108,1610612746
41500172,1,720S,201599,1610612746,203486,1610612757,TRUE,TRUE,203486,1610612757
41500173,1,720S,203486,1610612757,201599,1610612746,TRUE,TRUE,203486,1610612757
41500173,4,253S,203468,1610612757,101108,1610612746,FALSE,FALSE,203468,1610612757
41500174,1,720S,203486,1610612757,201599,1610612746,TRUE,TRUE,201599,1610612746
41500175,1,720S,201599,1610612746,203486,1610612757,TRUE,TRUE,203486,1610612757
41500176,1,720S,203486,1610612757,201599,1610612746,TRUE,TRUE,203486,1610612757
41500201,1,720S,202684,1610612739,201143,1610612737,TRUE,TRUE,202684,1610612739
41500202,1,720S,202684,1610612739,201143,1610612737,TRUE,TRUE,201143,1610612737
41500203,1,720S,201143,1610612737,202684,1610612739,TRUE,TRUE,201143,1610612737
41500203,3,311S,2743,1610612737,202684,1610612739,FALSE,FALSE,2743,1610612737
41500204,1,720S,201143,1610612737,202684,1610612739,TRUE,TRUE,202684,1610612739
41500204,2,258S,200757,1610612737,2544,1610612739,FALSE,FALSE,2544,1610612739
41500204,4,2S,203471,1610612737,2544,1610612739,FALSE,FALSE,2544,1610612739
41500211,1,720S,202685,1610612761,202355,1610612748,TRUE,TRUE,202685,1610612761
41500211,2,490S,201960,1610612761,202355,1610612748,FALSE,FALSE,202355,1610612748
41500211,2,203S,200768,1610612761,2617,1610612748,FALSE,FALSE,200768,1610612761
41500211,5,300S,202685,1610612761,202355,1610612748,FALSE,TRUE,202355,1610612748
41500212,1,720S,202685,1610612761,202355,1610612748,TRUE,TRUE,202355,1610612748
41500212,4,278S,202685,1610612761,202355,1610612748,FALSE,FALSE,202685,1610612761
41500212,5,300S,202685,1610612761,202355,1610612748,FALSE,TRUE,202685,1610612761
41500213,1,720S,202355,1610612748,202685,1610612761,TRUE,TRUE,202355,1610612748
41500213,1,382S,201609,1610612748,202685,1610612761,FALSE,FALSE,202685,1610612761
41500214,1,720S,2405,1610612748,202687,1610612761,TRUE,TRUE,202687,1610612761
41500214,3,422S,2405,1610612748,201960,1610612761,FALSE,FALSE,201960,1610612761
41500214,5,300S,2736,1610612748,202335,1610612761,FALSE,TRUE,202335,1610612761
41500214,5,59S,2736,1610612748,202335,1610612761,FALSE,FALSE,202335,1610612761
41500215,1,720S,202687,1610612761,2405,1610612748,TRUE,TRUE,202687,1610612761
41500216,1,720S,2736,1610612748,202687,1610612761,TRUE,TRUE,202687,1610612761
41500216,4,188S,2548,1610612748,202709,1610612761,FALSE,FALSE,202709,1610612761
41500217,1,720S,202687,1610612761,2736,1610612748,TRUE,TRUE,202687,1610612761
41500217,1,609S,202335,1610612761,1626159,1610612748,FALSE,FALSE,1626159,1610612748
41500217,1,424S,200768,1610612761,1626159,1610612748,FALSE,FALSE,1626159,1610612748
41500217,3,208S,202687,1610612761,204020,1610612748,FALSE,FALSE,202687,1610612761
41500221,1,720S,101106,1610612744,203486,1610612757,TRUE,TRUE,101106,1610612744
41500222,1,720S,101106,1610612744,203486,1610612757,TRUE,TRUE,101106,1610612744
41500222,2,372S,203110,1610612744,202334,1610612757,FALSE,FALSE,202334,1610612757
41500223,1,720S,203486,1610612757,101106,1610612744,TRUE,TRUE,101106,1610612744
41500223,3,418S,202334,1610612757,202691,1610612744,FALSE,FALSE,202334,1610612757
41500224,1,720S,203486,1610612757,101106,1610612744,TRUE,TRUE,203486,1610612757
41500224,2,278S,203081,1610612757,101106,1610612744,FALSE,FALSE,101106,1610612744
