"game_id","date","sport","bet_type","away","home","away_line","home_line"
"20210503_nba_Philadelphia_Chicago",20210503,"nba","spread","Philadelphia","Chicago",-8,8
"20210503_nba_New York_Memphis",20210503,"nba","spread","New York","Memphis",4,-4
"20210503_nba_Denver_L.A. Lakers",20210503,"nba","spread","Denver","L.A. Lakers",-4,4
"20210503_nba_San Antonio_Utah",20210503,"nba","spread","San Antonio","Utah",7.5,-7.5
"20210504_nba_Phoenix_Cleveland",20210504,"nba","spread","Phoenix","Cleveland",-12.5,12.5
"20210504_nba_Charlotte_Detroit",20210504,"nba","spread","Charlotte","Detroit",-3.5,3.5
"20210504_nba_Brooklyn_Milwaukee",20210504,"nba","spread","Brooklyn","Milwaukee",2,-2
"20210504_nba_Dallas_Miami",20210504,"nba","spread","Dallas","Miami",1,-1
"20210504_nba_Sacramento_Oklahoma City",20210504,"nba","spread","Sacramento","Oklahoma City",-5.5,5.5
"20210504_nba_Golden State_New Orleans",20210504,"nba","spread","Golden State","New Orleans",2,-2
"20210504_nba_Toronto_L.A. Clippers",20210504,"nba","spread","Toronto","L.A. Clippers",11.5,-11.5
"20210505_nba_Boston_Orlando",20210505,"nba","spread","Boston","Orlando",-12,12
"20210505_nba_Portland_Cleveland",20210505,"nba","spread","Portland","Cleveland",-12,12
"20210505_nba_Sacramento_Indiana",20210505,"nba","spread","Sacramento","Indiana",6,-6
"20210505_nba_Washington_Milwaukee",20210505,"nba","spread","Washington","Milwaukee",4,-4
"20210505_nba_Memphis_Minnesota",20210505,"nba","spread","Memphis","Minnesota",-3.5,3.5
"20210505_nba_Phoenix_Atlanta",20210505,"nba","spread","Phoenix","Atlanta",-1,1
"20210505_nba_Philadelphia_Houston",20210505,"nba","spread","Philadelphia","Houston",-15,15
"20210505_nba_San Antonio_Utah",20210505,"nba","spread","San Antonio","Utah",6.5,-6.5
"20210505_nba_New York_Denver",20210505,"nba","spread","New York","Denver",3.5,-3.5
"20210506_nba_Chicago_Charlotte",20210506,"nba","spread","Chicago","Charlotte",-5,5
"20210506_nba_Washington_Toronto",20210506,"nba","spread","Washington","Toronto",-2,2
"20210506_nba_Brooklyn_Dallas",20210506,"nba","spread","Brooklyn","Dallas",-3,3
"20210506_nba_Atlanta_Indiana",20210506,"nba","spread","Atlanta","Indiana",-6,6
"20210506_nba_Memphis_Detroit",20210506,"nba","spread","Memphis","Detroit",-9,9
"20210506_nba_Oklahoma City_Golden State",20210506,"nba","spread","Oklahoma City","Golden State",13.5,-13.5
"20210506_nba_L.A. Lakers_L.A. Clippers",20210506,"nba","spread","L.A. Lakers","L.A. Clippers",8.5,-8.5
"20210507_nba_New Orleans_Philadelphia",20210507,"nba","spread","New Orleans","Philadelphia",11.5,-11.5
"20210507_nba_Boston_Chicago",20210507,"nba","spread","Boston","Chicago",-4,4
"20210507_nba_Minnesota_Miami",20210507,"nba","spread","Minnesota","Miami",8,-8
"20210507_nba_Houston_Milwaukee",20210507,"nba","spread","Houston","Milwaukee",17.5,-17.5
"20210507_nba_Orlando_Charlotte",20210507,"nba","spread","Orlando","Charlotte",7.5,-7.5
"20210507_nba_Cleveland_Dallas",20210507,"nba","spread","Cleveland","Dallas",11,-11
"20210507_nba_Denver_Utah",20210507,"nba","spread","Denver","Utah",4.5,-4.5
"20210507_nba_New York_Phoenix",20210507,"nba","spread","New York","Phoenix",7,-7
"20210507_nba_San Antonio_Sacramento",20210507,"nba","spread","San Antonio","Sacramento",-4.5,4.5
"20210507_nba_L.A. Lakers_Portland",20210507,"nba","spread","L.A. Lakers","Portland",7,-7
"20210508_nba_Detroit_Philadelphia",20210508,"nba","spread","Detroit","Philadelphia",9,-9
"20210508_nba_Washington_Indiana",20210508,"nba","spread","Washington","Indiana",-4,4
"20210508_nba_Memphis_Toronto",20210508,"nba","spread","Memphis","Toronto",-6.5,6.5
"20210508_nba_Oklahoma City_Golden State",20210508,"nba","spread","Oklahoma City","Golden State",13.5,-13.5
"20210508_nba_Houston_Utah",20210508,"nba","spread","Houston","Utah",16,-16
"20210508_nba_Brooklyn_Denver",20210508,"nba","spread","Brooklyn","Denver",-3.5,3.5
"20210508_nba_San Antonio_Portland",20210508,"nba","spread","San Antonio","Portland",6,-6
"20210509_nba_Miami_Boston",20210509,"nba","spread","Miami","Boston",-1,1
"20210509_nba_New York_L.A. Clippers",20210509,"nba","spread","New York","L.A. Clippers",7.5,-7.5
"20210509_nba_Dallas_Cleveland",20210509,"nba","spread","Dallas","Cleveland",-10.5,10.5
"20210509_nba_New Orleans_Charlotte",20210509,"nba","spread","New Orleans","Charlotte",2.5,-2.5
"20210509_nba_Minnesota_Orlando",20210509,"nba","spread","Minnesota","Orlando",-7.5,7.5
"20210509_nba_Chicago_Detroit",20210509,"nba","spread","Chicago","Detroit",-10,10
"20210510_nba_Washington_Atlanta",20210510,"nba","spread","Washington","Atlanta",8,-8
"20210510_nba_Indiana_Cleveland",20210510,"nba","spread","Indiana","Cleveland",-9,9
"20210510_nba_New Orleans_Memphis",20210510,"nba","spread","New Orleans","Memphis",10,-10
"20210510_nba_Milwaukee_San Antonio",20210510,"nba","spread","Milwaukee","San Antonio",-7,7
"20210510_nba_Utah_Golden State",20210510,"nba","spread","Utah","Golden State",-2.5,2.5
"20210510_nba_Houston_Portland",20210510,"nba","spread","Houston","Portland",15,-15
"20210511_nba_Denver_Charlotte",20210511,"nba","spread","Denver","Charlotte",-6,6
"20210511_nba_Minnesota_Detroit",20210511,"nba","spread","Minnesota","Detroit",-7.5,7.5
"20210511_nba_Miami_Boston",20210511,"nba","spread","Miami","Boston",-1.5,1.5
"20210511_nba_L.A. Clippers_Toronto",20210511,"nba","spread","L.A. Clippers","Toronto",-13.5,13.5
"20210511_nba_Dallas_Memphis",20210511,"nba","spread","Dallas","Memphis",-3.5,3.5
"20210511_nba_Brooklyn_Chicago",20210511,"nba","spread","Brooklyn","Chicago",-4,4
"20210511_nba_Philadelphia_Indiana",20210511,"nba","spread","Philadelphia","Indiana",-5.5,5.5
"20210511_nba_Orlando_Milwaukee",20210511,"nba","spread","Orlando","Milwaukee",15.5,-15.5
"20210511_nba_Oklahoma City_Sacramento",20210511,"nba","spread","Oklahoma City","Sacramento",9,-9
"20210511_nba_New York_L.A. Lakers",20210511,"nba","spread","New York","L.A. Lakers",3,-3
"20210511_nba_Phoenix_Golden State",20210511,"nba","spread","Phoenix","Golden State",-5,5
"20210512_nba_Washington_Atlanta",20210512,"nba","spread","Washington","Atlanta",7,-7
"20210512_nba_San Antonio_Brooklyn",20210512,"nba","spread","San Antonio","Brooklyn",4.5,-4.5
"20210512_nba_Boston_Cleveland",20210512,"nba","spread","Boston","Cleveland",-6,6
"20210512_nba_New Orleans_Dallas",20210512,"nba","spread","New Orleans","Dallas",9.5,-9.5
"20210512_nba_Portland_Utah",20210512,"nba","spread","Portland","Utah",1,-1
"20210512_nba_Houston_L.A. Lakers",20210512,"nba","spread","Houston","L.A. Lakers",9,-9
