"game_date","game","player_name","team_abbreviation","prob_points","line_points","prob_fgm","line_fgm","br_prob","br_line","br_edge","br_kelly","br_units","bs_prob","bs_line","bs_edge","bs_kelly","bs_units","csr_prob","csr_line","csr_edge","csr_kelly","csr_units","dk_prob","dk_line","dk_edge","dk_kelly","dk_units","fd_prob","fd_line","fd_edge","fd_kelly","fd_units","mgm_prob","mgm_line","mgm_edge","mgm_kelly","mgm_units","pb_prob","pb_line","pb_edge","pb_kelly","pb_units","run_timestamp_utc"
2023-11-11,"MIA @ ATL","Haywood Highsmith","MIA",0.185,441,0.1935,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1538,550,0.0311,0.0184,1.8404,0.1739,475,0.0196,0.0118,1.1842,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Bam Adebayo","MIA",0.3393,195,0.3468,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3922,155,-0.0529,-0.0435,-4.3501,0.4167,140,-0.0699,-0.0599,-5.9911,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Trae Young","ATL",0.2236,347,0.2338,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2941,240,-0.0705,-0.0499,-4.9918,0.25,300,-0.0162,-0.0108,-1.0822,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Dejounte Murray","ATL",0.2038,391,0.2141,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2632,280,-0.0594,-0.0403,-4.0295,0.25,300,-0.0359,-0.0239,-2.3948,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","De'Andre Hunter","ATL",0.1842,443,0.1942,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2273,340,-0.043,-0.0278,-2.7847,0.2,400,-0.0058,-0.0036,-0.3644,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Jalen Johnson","ATL",0.2047,388,0.1914,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1818,450,0.0229,0.014,1.4008,0.1818,450,0.0096,0.0058,0.5846,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Clint Capela","ATL",0.1836,445,0.1666,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1695,490,0.0141,0.0085,0.8496,0.25,300,-0.0834,-0.0556,-5.5599,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Darius Garland","CLE",0.1934,417,0.193,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2222,350,-0.0293,-0.0188,-1.881,0.25,300,-0.0566,-0.0377,-3.7703,0.25,300,-0.057,-0.038,-3.8025,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Donovan Mitchell","CLE",0.2587,286,0.2719,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2703,270,0.0016,0.0011,0.1129,0.3448,190,-0.0861,-0.0657,-6.5699,0.2778,260,-0.0059,-0.0041,-0.4057,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Max Strus","CLE",0.15,567,0.148,576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1667,500,-0.0187,-0.0112,-1.1224,0.1538,550,-0.0038,-0.0023,-0.2262,0.1538,550,-0.0059,-0.0035,-0.3479,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Evan Mobley","CLE",0.2122,371,0.2061,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2564,290,-0.0503,-0.0338,-3.3815,0.1818,450,0.0304,0.0186,1.8592,0.2,400,0.0061,0.0038,0.3826,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Jarrett Allen","CLE",0.1856,439,0.181,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2381,320,-0.0571,-0.0374,-3.7443,0.2041,390,-0.0185,-0.0116,-1.1637,0.25,300,-0.069,-0.046,-4.5974,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Stephen Curry","GSW",0.2102,376,0.203,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2703,270,-0.0673,-0.0461,-4.609,0.2703,270,-0.0601,-0.0412,-4.1182,0.2564,290,-0.0534,-0.0359,-3.5911,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Klay Thompson","GSW",0.2137,368,0.2295,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,300,-0.0205,-0.0136,-1.3648,0.2632,280,-0.0495,-0.0336,-3.3569,0.25,300,-0.0205,-0.0136,-1.3648,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Andrew Wiggins","GSW",0.2257,343,0.2429,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,300,-0.0071,-0.0048,-0.4761,0.2273,340,-0.0016,-0.001,-0.1032,0.2353,325,0.0076,0.0049,0.4946,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Draymond Green","GSW",0.1576,535,0.1541,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,400,-0.0459,-0.0287,-2.8662,0.1923,420,-0.0348,-0.0215,-2.1513,0.1739,475,-0.0198,-0.012,-1.1968,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Kevon Looney","GSW",0.1929,418,0.1705,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1818,450,-0.0113,-0.0069,-0.6935,0.1818,450,0.0111,0.0068,0.678,0.2105,375,-0.0401,-0.0254,-2.5369,NA,NA,NA,NA,NA,2023-11-11 18:27:34
