"season_year","season_type","game_date","game_id","player_id","player_name","team_id","team_abbreviation","matchup","starter","event","shot_type","fpts_team","fpts_team_prob_glmnet","fpts_team_prob_earth","model","fpts_team_prob"
"2023-24","Regular Season",2023-11-11,"0022300175","1630552","Jalen Johnson","1610612737","ATL","ATL vs. MIA",TRUE,"fgm","overall",NA,0.202007786591962,0.18069059829101,"fgm",0.191349192441486
"2023-24","Regular Season",2023-11-11,"0022300175","203991","Clint Capela","1610612737","ATL","ATL vs. MIA",TRUE,"fgm","overall",NA,0.177123013080939,0.15601877135179,"fgm",0.166570892216365
"2023-24","Regular Season",2023-11-11,"0022300176","1629636","Darius Garland","1610612739","CLE","CLE @ GSW",TRUE,"fgm","overall",NA,0.196806602532963,0.190729501507564,"fgm",0.193768052020263
"2023-24","Regular Season",2023-11-11,"0022300176","1628378","Donovan Mitchell","1610612739","CLE","CLE @ GSW",TRUE,"fgm","overall",NA,0.261817095385498,0.284290068489813,"fgm",0.273053581937655
"2023-24","Regular Season",2023-11-11,"0022300176","1629622","Max Strus","1610612739","CLE","CLE @ GSW",TRUE,"fgm","overall",NA,0.152942809276391,0.144211576650269,"fgm",0.14857719296333
"2023-24","Regular Season",2023-11-11,"0022300176","1630596","Evan Mobley","1610612739","CLE","CLE @ GSW",TRUE,"fgm","overall",NA,0.208694800982944,0.205269363706442,"fgm",0.206982082344693
"2023-24","Regular Season",2023-11-11,"0022300176","1628386","Jarrett Allen","1610612739","CLE","CLE @ GSW",TRUE,"fgm","overall",NA,0.193335563763031,0.170255092981791,"fgm",0.181795328372411
"2023-24","Regular Season",2023-11-11,"0022300176","201939","Stephen Curry","1610612744","GSW","GSW vs. CLE",TRUE,"fgm","overall",NA,0.198515038368697,0.190719117794758,"fgm",0.194617078081728
"2023-24","Regular Season",2023-11-11,"0022300176","202691","Klay Thompson","1610612744","GSW","GSW vs. CLE",TRUE,"fgm","overall",NA,0.201931304074244,0.238157656835025,"fgm",0.220044480454635
"2023-24","Regular Season",2023-11-11,"0022300176","203952","Andrew Wiggins","1610612744","GSW","GSW vs. CLE",TRUE,"fgm","overall",NA,0.211286548572076,0.254361694916995,"fgm",0.232824121744535
"2023-24","Regular Season",2023-11-11,"0022300176","203110","Draymond Green","1610612744","GSW","GSW vs. CLE",TRUE,"fgm","overall",NA,0.169471527996915,0.126071921657492,"fgm",0.147771724827203
"2023-24","Regular Season",2023-11-11,"0022300176","1626172","Kevon Looney","1610612744","GSW","GSW vs. CLE",TRUE,"fgm","overall",NA,0.187195140995114,0.139659231389222,"fgm",0.163427186192168
