,GAME_ID,SBR_GAME_ID,DATE,TEAM1_ID,TEAM2_ID,TEAM1_SCORE,TEAM2_SCORE,WINNER,away_prob,away_spread,away_total,date_m,TEAM1_10wp,TEAM1_25wp,TEAM1_50wp,TEAM1_75wp,TEAM1_100wp,TEAM2_10wp,TEAM2_25wp,TEAM2_50wp,TEAM2_75wp,TEAM2_100wp
6376,21400059,20141105_nba_Toronto_Boston,20141105.0,1610612761,1610612761,110.0,107.0,1,0.4761904761904761,2.0,203.0,2014-11-05,,,,,,,,,,
5188,21400062,20141105_nba_Chicago_Milwaukee,20141105.0,1610612741,1610612741,95.0,86.0,1,0.6774193548387097,-5.0,191.0,2014-11-05,,,,,,,,,,
5816,21400060,20141105_nba_Minnesota_Brooklyn,20141105.0,1610612750,1610612750,98.0,91.0,1,0.3571428571428571,5.0,208.5,2014-11-05,,,,,,,,,,
6914,21400067,20141105_nba_Denver_Sacramento,20141105.0,1610612743,1610612743,109.0,131.0,2,0.4255319148936169,3.5,206.0,2014-11-05,,,,,,,,,,
6344,21400058,20141105_nba_Orlando_Philadelphia,20141105.0,1610612753,1610612753,91.0,89.0,1,0.5918367346938775,-3.0,196.5,2014-11-05,,,,,,,,,,
3413,21400069,20141106_nba_San Antonio_Houston,20141106.0,1610612759,1610612759,81.0,98.0,2,0.289855072463768,6.5,196.5,2014-11-06,,,,,,,,,,
6353,21400070,20141106_nba_Dallas_Portland,20141106.0,1610612742,1610612742,87.0,108.0,2,0.4761904761904761,2.0,210.0,2014-11-06,,,,,,,,,,
4028,21400078,20141107_nba_Memphis_Oklahoma City,20141107.0,1610612763,1610612763,91.0,89.0,1,0.7590361445783133,-7.0,181.5,2014-11-07,,,,,,,,,,
5817,21400074,20141107_nba_Indiana_Boston,20141107.0,1610612754,1610612754,98.0,101.0,2,0.3389830508474577,5.5,191.0,2014-11-07,,,,,,,,,,
2711,21400080,20141107_nba_Dallas_Utah,20141107.0,1610612742,1610612742,105.0,82.0,1,0.6,-3.0,205.0,2014-11-07,,,,,,,,,,
5206,21400076,20141107_nba_Milwaukee_Detroit,20141107.0,1610612749,1610612749,95.0,98.0,2,0.3623188405797101,5.0,195.0,2014-11-07,,,,,,,,,,
5770,21400075,20141107_nba_New York_Brooklyn,20141107.0,1610612752,1610612752,99.0,110.0,2,0.3225806451612902,6.0,192.5,2014-11-07,,,,,,,,,,
5244,21400077,20141107_nba_Washington_Toronto,20141107.0,1610612764,1610612764,84.0,103.0,2,0.4081632653061224,3.5,195.0,2014-11-07,,,,,,,,,,
