GAME_ID,TEAM1_ID,TEAM2_ID,TEAM1_SCORE,TEAM2_SCORE,WINNER,TEAM1_FGM,TEAM1_FGA,TEAM1_FG_PCT,TEAM1_FG3M,TEAM1_FG3A,TEAM1_FG3_PCT,TEAM1_FTM,TEAM1_FTA,TEAM1_FT_PCT,TEAM1_OREB,TEAM1_DREB,TEAM1_REB,TEAM1_AST,TEAM1_STL,TEAM1_BLK,TEAM1_TO,TEAM1_PF,TEAM1_PTS,TEAM1_PLUS_MINUS,TEAM2_FGM,TEAM2_FGA,TEAM2_FG_PCT,TEAM2_FG3M,TEAM2_FG3A,TEAM2_FG3_PCT,TEAM2_FTM,TEAM2_FTA,TEAM2_FT_PCT,TEAM2_OREB,TEAM2_DREB,TEAM2_REB,TEAM2_AST,TEAM2_STL,TEAM2_BLK,TEAM2_TO,TEAM2_PF,TEAM2_PTS,TEAM2_PLUS_MINUS
21200865,1610612752,1610612764,96.0,88.0,1,35.0,81.0,3.426,8.0,28.0,1.744,18.0,21.0,3.556,9.0,32.0,41.0,18.0,8.0,3.0,12.0,23.0,96.0,40.0,31.0,74.0,3.503,7.0,16.0,1.3039999999999998,19.0,29.0,3.714,11.0,33.0,44.0,19.0,7.0,4.0,13.0,18.0,88.0,-40.0
41900104,1610612749,1610612753,121.0,106.0,1,,91.0,5.748000000000001,17.0,41.0,3.8370000000000006,14.0,21.0,3.683,8.0,41.0,49.0,29.0,7.0,5.0,12.0,19.0,121.0,75.0,,87.0,3.1140000000000003,18.0,45.0,3.258,16.0,20.0,5.333,5.0,38.0,43.0,26.0,7.0,6.0,16.0,23.0,106.0,-75.0
22100433,1610612748,1610612753,115.0,105.0,1,41.0,82.0,3.825,19.0,35.0,3.258,14.0,19.0,5.167,14.0,32.0,46.0,25.0,5.0,5.0,15.0,14.0,115.0,50.0,43.0,89.0,4.252,11.0,32.0,2.129,8.0,10.0,1.583,9.0,27.0,36.0,23.0,10.0,5.0,11.0,19.0,105.0,-50.0
22100355,1610612764,1610612754,110.0,116.0,2,43.0,81.0,4.720000000000001,7.0,15.0,2.5,17.0,21.0,3.15,9.0,21.0,30.0,25.0,11.0,2.0,12.0,19.0,110.0,-30.0,43.0,82.0,4.537,9.0,23.0,2.917,21.0,22.0,5.5,13.0,27.0,40.0,25.0,10.0,10.0,15.0,20.0,116.0,30.0
21300871,1610612766,1610612759,82.0,92.0,2,33.0,90.0,3.146,3.0,17.0,1.083,13.0,15.0,4.0,12.0,29.0,41.0,23.0,12.0,3.0,11.0,18.0,82.0,-50.0,34.0,73.0,4.542,9.0,20.0,2.333,15.0,15.0,6.0,4.0,40.0,44.0,26.0,4.0,8.0,19.0,15.0,92.0,50.0
21900709,1610612765,1610612751,115.0,125.0,2,42.0,83.0,4.487,10.0,26.0,2.953,21.0,28.0,3.8419999999999996,9.0,32.0,41.0,25.0,6.0,5.0,16.0,20.0,115.0,-50.0,43.0,85.0,5.7509999999999994,15.0,39.0,3.1670000000000003,24.0,30.0,5.894,8.0,29.0,37.0,26.0,8.0,7.0,9.0,19.0,125.0,50.0
21601032,1610612762,1610612741,86.0,95.0,2,31.0,81.0,3.104,7.0,25.0,1.308,17.0,25.0,5.6,17.0,32.0,49.0,15.0,6.0,8.0,14.0,12.0,86.0,-45.0,38.0,80.0,5.132,7.0,19.0,2.629,12.0,14.0,4.0,7.0,32.0,39.0,24.0,7.0,9.0,10.0,18.0,95.0,45.0
21400380,1610612740,1610612745,99.0,90.0,1,38.0,82.0,3.637,5.0,18.0,2.083,18.0,22.0,4.333,12.0,33.0,45.0,21.0,4.0,8.0,12.0,17.0,99.0,45.0,33.0,86.0,4.7059999999999995,6.0,25.0,1.1789999999999998,18.0,23.0,5.95,12.0,31.0,43.0,19.0,8.0,4.0,11.0,18.0,90.0,-45.0
22000427,1610612743,1610612738,99.0,112.0,2,38.0,84.0,3.985,9.0,34.0,1.433,14.0,15.0,2.75,11.0,27.0,38.0,25.0,12.0,3.0,17.0,18.0,99.0,-65.0,39.0,81.0,4.9510000000000005,15.0,42.0,3.1189999999999998,19.0,21.0,4.5,10.0,33.0,43.0,26.0,7.0,1.0,20.0,22.0,112.0,65.0
41800104,1610612749,1610612765,127.0,104.0,1,,79.0,6.894,10.0,28.0,3.166,31.0,41.0,6.357,10.0,44.0,54.0,27.0,6.0,10.0,17.0,21.0,127.0,115.0,,100.0,3.773,13.0,34.0,2.175,9.0,12.0,4.0,10.0,26.0,36.0,26.0,8.0,1.0,10.0,31.0,104.0,-115.0
