"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","win_tip_prob_xtip","final_score_first_prob_all","final_score_first_prob_all_2Q","final_score_first_prob_all_3Q","final_score_first_prob_all_4Q"
"2019-20","Pre Season",2019-10-17,"11900070","ATL @ CHI",TRUE,TRUE,1,720,"Wendell Carter Jr.","1628976","CHI","Alex Len","203458","ATL","CHI","ATL","CHI","ATL","CHI",TRUE,FALSE,TRUE,FALSE,TRUE,"Home",0.537329982768046,0.536413373663176,0.490719529486961,0.499443092876341,0.510614873505775
"2019-20","Pre Season",2019-10-17,"11900071","MIL vs. MIN",TRUE,TRUE,1,720,"Brook Lopez","201572","MIL","Karl-Anthony Towns","1626157","MIN","MIL","MIL","MIL","MIN","MIL",TRUE,TRUE,TRUE,FALSE,TRUE,"Home",0.682238798991368,0.589452201299736,0.454837552404608,0.473840701577802,0.568292296618431
"2019-20","Pre Season",2019-10-17,"11900072","DEN vs. POR",TRUE,TRUE,1,720,"Nikola Jokic","203999","DEN","Zach Collins","1628380","POR","DEN","DEN","POR","POR","POR",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.502179609165293,0.536912430669282,0.499458060188705,0.517737727865974,0.505055434980258
"2019-20","Pre Season",2019-10-17,"11900073","DAL @ LAC",TRUE,TRUE,1,720,"Ivica Zubac","1627826","LAC","Kristaps Porzingis","204001","DAL","DAL","DAL","LAC","LAC","LAC",FALSE,FALSE,TRUE,TRUE,TRUE,"Home",0.354937108589189,0.466230523881117,0.535993001426111,0.534975337398956,0.43699316652672
"2019-20","Pre Season",2019-10-18,"11900074","PHI vs. WAS",TRUE,TRUE,1,720,"Joel Embiid","203954","PHI","Thomas Bryant","1628418","WAS","PHI","PHI","WAS","WAS","PHI",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.660113635750192,0.585077238904836,0.460709186708533,0.482756046796206,0.555142969905033
"2019-20","Pre Season",2019-10-18,"11900075","TOR @ BKN",TRUE,TRUE,1,720,"Jarrett Allen","1628386","BKN","Marc Gasol","201188","TOR","BKN","BKN","TOR","BKN","BKN",TRUE,TRUE,FALSE,TRUE,TRUE,"Home",0.592862779120863,0.542317102886375,0.477174768142439,0.480685875512624,0.521671096873946
"2019-20","Pre Season",2019-10-18,"11900076","HOU @ MIA",TRUE,TRUE,1,720,"Bam Adebayo","1628389","MIA","Clint Capela","203991","HOU","HOU","HOU","HOU","MIA","MIA",FALSE,FALSE,FALSE,TRUE,TRUE,"Home",0.422037122199392,0.445920776701352,0.5191676075323,0.505740723673548,0.447366100341432
"2019-20","Pre Season",2019-10-18,"11900077","NOP @ NYK",TRUE,TRUE,1,720,"Mitchell Robinson","1629011","NYK","Jahlil Okafor","1626143","NOP","NYK","NOP","NYK","NOP","NYK",TRUE,FALSE,TRUE,FALSE,TRUE,"Home",0.549749875465551,0.506830734399323,0.487764466084723,0.487147756393336,0.498255500733958
"2019-20","Pre Season",2019-10-18,"11900078","SAS vs. MEM",TRUE,TRUE,1,720,"LaMarcus Aldridge","200746","SAS","Jaren Jackson Jr.","1628991","MEM","MEM","SAS","MEM","MEM","SAS",FALSE,TRUE,FALSE,FALSE,TRUE,"Home",0.330525843362322,0.477512123884894,0.541575502218418,0.550727526877411,0.442896147584431
"2019-20","Pre Season",2019-10-18,"11900079","LAL @ GSW",TRUE,TRUE,1,720,"Marquese Chriss","1627737","GSW","Devontae Cacok","1629719","LAL","GSW","GSW","LAL","LAL","GSW",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.668680558102626,0.580889160024733,0.458618117602058,0.472871891797008,0.553549954725854
"2019-20","Regular Season",2019-10-22,"21900001","NOP @ TOR",TRUE,TRUE,1,720,"Marc Gasol","201188","TOR","Derrick Favors","202324","NOP","NOP","NOP","TOR","TOR","TOR",FALSE,FALSE,TRUE,TRUE,TRUE,"Home",0.528122087435734,0.534901729616867,0.493068139725157,0.502870661378291,0.508896288265207
"2019-20","Regular Season",2019-10-22,"21900002","LAL @ LAC",TRUE,TRUE,1,720,"Ivica Zubac","1627826","LAC","JaVale McGee","201580","LAL","LAL","LAL","LAC","LAL","LAC",FALSE,FALSE,TRUE,FALSE,TRUE,"Home",0.295434150958219,0.425625178046461,0.55257433478379,0.546174404721937,0.412866555070397
"2019-20","Regular Season",2019-10-23,"21900003","CHA vs. CHI",TRUE,TRUE,1,720,"Cody Zeller","203469","CHA","Wendell Carter Jr.","1628976","CHI","CHI","CHI","CHI","CHI","CHI",FALSE,FALSE,FALSE,FALSE,FALSE,"Home",0.34135295554249,0.437709836037895,0.538101494881682,0.534959747051772,0.422539119072409
"2019-20","Regular Season",2019-10-23,"21900004","DET @ IND",TRUE,TRUE,1,720,"Myles Turner","1626167","IND","Andre Drummond","203083","DET","DET","DET","IND","IND","DET",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.161759531891723,0.427713204325449,0.596707293424482,0.582341318657321,0.38366962112794
"2019-20","Regular Season",2019-10-23,"21900005","CLE @ ORL",TRUE,TRUE,1,720,"Nikola Vucevic","202696","ORL","Tristan Thompson","202684","CLE","ORL","CLE","CLE","CLE","ORL",TRUE,FALSE,FALSE,FALSE,TRUE,"Home",0.610083391302285,0.570609592059178,0.473527662989449,0.493136401847816,0.546007860943967
"2019-20","Regular Season",2019-10-23,"21900006","BKN vs. MIN",TRUE,TRUE,1,720,"Jarrett Allen","1628386","BKN","Karl-Anthony Towns","1626157","MIN","MIN","MIN","MIN","BKN","BKN",FALSE,FALSE,FALSE,TRUE,TRUE,"Home",0.589095648340324,0.539428187073521,0.478565824064387,0.481089930981646,0.524264035052501
"2019-20","Regular Season",2019-10-23,"21900007","MIA vs. MEM",TRUE,TRUE,1,720,"Bam Adebayo","1628389","MIA","Jaren Jackson Jr.","1628991","MEM","MEM","MIA","MIA","MIA","MEM",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.415267715036631,0.501541224247747,0.520385992388195,0.530054327340601,0.47023506958871
"2019-20","Regular Season",2019-10-23,"21900008","PHI vs. BOS",TRUE,TRUE,1,720,"Joel Embiid","203954","PHI","Enes Kanter","202683","BOS","BOS","PHI","PHI","PHI","BOS",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.747715574502767,0.598539726457404,0.433511750024017,0.450755797569947,0.586458608426152
"2019-20","Regular Season",2019-10-23,"21900009","DAL vs. WAS",TRUE,TRUE,1,720,"Kristaps Porzingis","204001","DAL","Thomas Bryant","1628418","WAS","DAL","DAL","WAS","DAL","WAS",TRUE,TRUE,FALSE,TRUE,FALSE,"Home",0.676181824943405,0.588639998037001,0.457711775829211,0.475512472646948,0.568104907737558
"2019-20","Regular Season",2019-10-23,"21900010","SAS vs. NYK",TRUE,TRUE,1,720,"LaMarcus Aldridge","200746","SAS","Bobby Portis","1626171","NYK","NYK","NYK","SAS","NYK","SAS",FALSE,FALSE,TRUE,FALSE,TRUE,"Home",0.482103067890838,0.535050375768882,0.50430880590709,0.527613421544208,0.502834812686436
"2019-20","Regular Season",2019-10-23,"21900011","OKC @ UTA",TRUE,TRUE,1,720,"Rudy Gobert","203497","UTA","Steven Adams","203500","OKC","OKC","UTA","OKC","UTA","OKC",FALSE,TRUE,FALSE,TRUE,FALSE,"Home",0.477818266937597,0.52952090565554,0.505340309347463,0.523529950544804,0.497987861879611
"2019-20","Regular Season",2019-10-23,"21900012","SAC @ PHX",TRUE,TRUE,1,720,"Deandre Ayton","1629028","PHX","Marvin Bagley III","1628963","SAC","PHX","SAC","PHX","PHX","SAC",TRUE,FALSE,TRUE,TRUE,FALSE,"Home",0.208905301701463,0.416922491181586,0.581345547546416,0.564121323409213,0.386804781501109
"2019-20","Regular Season",2019-10-23,"21900013","DEN @ POR",TRUE,TRUE,1,720,"Hassan Whiteside","202355","POR","Nikola Jokic","203999","DEN","POR","POR","DEN","DEN","POR",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.609738508088917,0.526921613371036,0.473610400805452,0.472944979455845,0.521639043572842
"2019-20","Regular Season",2019-10-24,"21900014","ATL @ DET",TRUE,TRUE,1,720,"Andre Drummond","203083","DET","Alex Len","203458","ATL","DET","ATL","DET","ATL","DET",TRUE,FALSE,TRUE,FALSE,TRUE,"Home",0.809667335209649,0.597982547875095,0.403215409663486,0.427913429161252,0.615543095900044
