"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","win_tip_prob","win_tip_prob_opp","win_tip_prob_xtip","win_tip_prob_xtip_opp"
"2016-17","Pre Season",2016-10-08,"11600032","MIN @ MIA",TRUE,TRUE,1,720,"Hassan Whiteside","202355","MIA","Karl-Anthony Towns","1626157","MIN","MIN","MIA","MIN","MIA","MIA",FALSE,TRUE,FALSE,TRUE,TRUE,"Home",0.5964053441634,0.4035946558366,0.602914969059533,0.397085030940467
"2016-17","Pre Season",2016-10-08,"11600033","CLE vs. PHI",TRUE,TRUE,1,720,"Chris Andersen","2365","CLE","Joel Embiid","203954","PHI","PHI","PHI","CLE","CLE","CLE",FALSE,FALSE,TRUE,TRUE,TRUE,"Home",0.495791270946165,0.504208729053834,0.543637032890556,0.456362967109444
"2016-17","Pre Season",2016-10-08,"11600034","DAL @ MIL",TRUE,TRUE,1,720,"Greg Monroe","202328","MIL","Andrew Bogut","101106","DAL","MIL","MIL","DAL","DAL","DAL",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.365093824388916,0.634906175611084,0.338715131578852,0.661284868421148
"2016-17","Pre Season",2016-10-08,"11600035","SAS vs. ATL",TRUE,TRUE,1,720,"Pau Gasol","2200","SAS","Edy Tavares","204002","ATL","SAS","SAS","SAS","SAS","ATL",TRUE,TRUE,TRUE,TRUE,FALSE,"Home",0.635887857355181,0.364112142644819,0.70689311629414,0.29310688370586
"2016-17","Pre Season",2016-10-09,"11600036","LAL vs. DEN",TRUE,TRUE,1,720,"Timofey Mozgov","202389","LAL","Jusuf Nurkic","203994","DEN","DEN","DEN","LAL","LAL","DEN",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.476947174175662,0.523052825824338,0.466253522930134,0.533746477069867
"2016-17","Pre Season",2016-10-09,"11600037","HOU vs. NOP",TRUE,TRUE,1,720,"Clint Capela","203991","HOU","Anthony Davis","203076","NOP","NOP","NOP","HOU","NOP","HOU",FALSE,FALSE,TRUE,FALSE,TRUE,"Home",0.518761085236403,0.481238914763596,0.550340404900832,0.449659595099168
"2016-17","Pre Season",2016-10-10,"11600038","MIN @ CHA",TRUE,TRUE,1,720,"Roy Hibbert","201579","CHA","Karl-Anthony Towns","1626157","MIN","CHA","MIN","MIN","MIN","CHA",TRUE,FALSE,FALSE,FALSE,TRUE,"Home",0.502610248115793,0.497389751884207,0.503316294975523,0.496683705024477
"2016-17","Pre Season",2016-10-10,"11600039","NYK vs. WAS",TRUE,TRUE,1,720,"Kristaps Porzingis","204001","NYK","Marcin Gortat","101162","WAS","WAS","WAS","NYK","NYK","WAS",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.436475868554773,0.563524131445227,0.390530220322438,0.609469779677562
"2016-17","Pre Season",2016-10-10,"11600040","CLE @ ATL",TRUE,TRUE,1,720,"Dwight Howard","2730","ATL","Cory Jefferson","203928","CLE","ATL","ATL","CLE","CLE","CLE",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.755461120881638,0.244538879118362,0.77012775017,0.22987224983
"2016-17","Pre Season",2016-10-10,"11600041","SAS @ DET",TRUE,TRUE,1,720,"Andre Drummond","203083","DET","Pau Gasol","2200","SAS","DET","DET","SAS","SAS","SAS",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.58964142506394,0.41035857493606,0.611921149816051,0.388078850183949
"2016-17","Pre Season",2016-10-10,"11600042","LAC vs. UTA",TRUE,TRUE,1,720,"DeAndre Jordan","201599","LAC","Rudy Gobert","203497","UTA","UTA","UTA","LAC","LAC","LAC",FALSE,FALSE,TRUE,TRUE,TRUE,"Home",0.63370810217132,0.36629189782868,0.657362531111302,0.342637468888698
"2016-17","Pre Season",2016-10-11,"11600044","MEM vs. PHI",TRUE,TRUE,1,720,"Marc Gasol","201188","MEM","Joel Embiid","203954","PHI","PHI","MEM","PHI","MEM","MEM",FALSE,TRUE,FALSE,TRUE,TRUE,"Home",0.636468562997525,0.363531437002475,0.676328027056204,0.323671972943796
"2016-17","Pre Season",2016-10-11,"11600045","BKN @ MIA",TRUE,TRUE,1,720,"Hassan Whiteside","202355","MIA","Justin Hamilton","203120","BKN","MIA","MIA","BKN","MIA","MIA",TRUE,TRUE,FALSE,TRUE,TRUE,"Home",0.583418130432723,0.416581869567277,0.638195970267977,0.361804029732023
"2016-17","Pre Season",2016-10-11,"11600046","DAL vs. OKC",TRUE,TRUE,1,720,"Andrew Bogut","101106","DAL","Enes Kanter","202683","OKC","DAL","OKC","OKC","DAL","DAL",TRUE,FALSE,FALSE,TRUE,TRUE,"Home",0.623673942803749,0.376326057196251,0.681430545790688,0.318569454209312
"2016-17","Pre Season",2016-10-11,"11600047","LAL vs. POR",TRUE,TRUE,1,720,"Timofey Mozgov","202389","LAL","Mason Plumlee","203486","POR","POR","LAL","LAL","LAL","LAL",FALSE,TRUE,TRUE,TRUE,TRUE,"Home",0.492567578661131,0.507432421338868,0.479207713329653,0.520792286670347
