"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","final_win_prob_all"
"2013-14","Pre Season",2013-10-15,"11300054","OKC vs. DEN",TRUE,TRUE,1,720,"Hasheem Thabeet","201934","OKC","JaVale McGee","201580","DEN","DEN","DEN","DEN","OKC","OKC",FALSE,FALSE,FALSE,TRUE,TRUE,"Home",0.530623612586755
"2013-14","Pre Season",2013-10-15,"11300055","LAC @ PHX",TRUE,TRUE,1,720,"Miles Plumlee","203101","PHX","DeAndre Jordan","201599","LAC","LAC","LAC","LAC","PHX","LAC",FALSE,FALSE,FALSE,TRUE,FALSE,"Home",0.435628583331355
"2013-14","Pre Season",2013-10-15,"11300056","BKN vs. BOS",TRUE,TRUE,1,720,"Brook Lopez","201572","BKN","Jared Sullinger","203096","BOS","BKN","BKN","BOS","BOS","BKN",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.681181867526943
"2013-14","Pre Season",2013-10-15,"11300057","LAL vs. GSW",TRUE,TRUE,1,720,"Pau Gasol","2200","LAL","Andrew Bogut","101106","GSW","GSW","GSW","LAL","LAL","GSW",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.562537061150533
"2013-14","Pre Season",2013-10-16,"11300058","BOS @ TOR",TRUE,TRUE,1,720,"Jonas Valanciunas","202685","TOR","Jared Sullinger","203096","BOS","TOR","TOR","TOR","TOR","BOS",TRUE,TRUE,TRUE,TRUE,FALSE,"Home",0.661565347952239
"2013-14","Pre Season",2013-10-16,"11300059","DAL @ IND",TRUE,TRUE,1,720,"Ian Mahinmi","101133","IND","Samuel Dalembert","2223","DAL","IND","IND","IND","DAL","IND",TRUE,TRUE,TRUE,FALSE,TRUE,"Home",0.500546779161469
"2013-14","Pre Season",2013-10-16,"11300060","CHI vs. DET",TRUE,TRUE,1,720,"Joakim Noah","201149","CHI","Andre Drummond","203083","DET","DET","CHI","DET","CHI","CHI",FALSE,TRUE,FALSE,TRUE,TRUE,"Home",0.544677297284777
"2013-14","Pre Season",2013-10-16,"11300061","HOU vs. ORL",TRUE,TRUE,1,720,"Dwight Howard","2730","HOU","Nikola Vucevic","202696","ORL","HOU","HOU","ORL","ORL","HOU",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.597994174923574
"2013-14","Pre Season",2013-10-16,"11300062","UTA vs. POR",TRUE,TRUE,1,720,"Enes Kanter","202683","UTA","Robin Lopez","201577","POR","POR","UTA","POR","POR","POR",FALSE,TRUE,FALSE,FALSE,FALSE,"Home",0.566160550235152
"2013-14","Pre Season",2013-10-17,"11300063","CHA vs. PHI",TRUE,TRUE,1,720,"Bismack Biyombo","202687","CHA","Lavoy Allen","202730","PHI","CHA","CHA","CHA","PHI","CHA",TRUE,TRUE,TRUE,FALSE,TRUE,"Home",0.550573605612026
