"player_id","player_name","pts_rollsum_10","pts_rollsum_25","pts_rollsum_50","pts_rollsum_100","start_rollsum_10","start_rollsum_25","start_rollsum_50","start_rollsum_100","start_rollmean_10","start_rollmean_25","start_rollmean_50","start_rollmean_100","fgpct_10","fgpct_25","fgpct_50","fgpct_100","ftpct_10","ftpct_25","ftpct_50","ftpct_100","usg_10","usg_25","usg_50","usg_100","took_team_first_shot_rollmean_10","took_team_first_shot_rollmean_25","took_team_first_shot_rollmean_50","took_team_first_shot_rollmean_100","made_team_first_basket_rollmean_10","made_team_first_basket_rollmean_25","made_team_first_basket_rollmean_50","made_team_first_basket_rollmean_100","made_team_first_fgm_rollmean_10","made_team_first_fgm_rollmean_25","made_team_first_fgm_rollmean_50","made_team_first_fgm_rollmean_100","made_first_basket_rollmean_10","made_first_basket_rollmean_25","made_first_basket_rollmean_50","made_first_basket_rollmean_100","made_first_fgm_rollmean_10","made_first_fgm_rollmean_25","made_first_fgm_rollmean_50","made_first_fgm_rollmean_100"
"1630536","Sharife Cooper",5,7,7,7,0,0,0,0,0,0,0,0,0.2,0.214285714285714,0.214285714285714,0.214285714285714,NA,NA,NA,NA,0.204364429462766,0.21391917715849,0.21391917715849,0.21391917715849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630537","Chris Duarte",85,269,600,800,5,17,30,44,0.5,0.68,0.6,0.6875,0.38961038961039,0.398268398268398,0.426614481409002,0.427745664739884,0.916666666666667,0.96078431372549,0.822429906542056,0.814516129032258,0.189086417079438,0.202922711587446,0.211791012386749,0.210278813663137,0.2,0.16,0.25,0.25,0.2,0.12,0.159090909090909,0.159090909090909,0.2,0.12,0.181818181818182,0.181818181818182,0.1,0.04,0.0909090909090909,0.0909090909090909,0.1,0.04,0.113636363636364,0.113636363636364
"1630538","Bones Hyland",145,334,636,999,0,1,4,4,0,0.04,0.08,0.0434782608695652,0.396694214876033,0.4,0.422680412371134,0.399755501222494,0.91304347826087,0.841269841269841,0.829457364341085,0.846994535519126,0.284916887403528,0.285380455700247,0.257730095631158,0.2522036384414,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"1630539","Kai Jones",43,69,78,78,0,0,0,0,0,0,0,0,0.45,0.5,0.507936507936508,0.507936507936508,0.833333333333333,0.642857142857143,0.555555555555556,0.555555555555556,0.14258140233006,0.144345498019629,0.146051038775679,0.146051038775679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630540","Miles McBride",37,73,128,128,0,0,2,2,0,0,0.04,0.0363636363636364,0.35,0.341772151898734,0.315436241610738,0.30718954248366,0.666666666666667,0.5,0.6,0.6,0.146725890957744,0.147051315077798,0.141624077441992,0.143490489845678,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1630541","Moses Moody",29,110,251,377,0,1,6,12,0,0.04,0.12,0.137931034482759,0.45,0.428571428571429,0.480662983425414,0.442176870748299,0.833333333333333,0.818181818181818,0.780487804878049,0.78125,0.110056024396875,0.147443327458796,0.150079933119166,0.152077880558502,0.1,0.166666666666667,0.166666666666667,0.166666666666667,0.1,0.166666666666667,0.166666666666667,0.166666666666667,0.1,0.166666666666667,0.166666666666667,0.166666666666667,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0.0833333333333333
"1630543","Isaiah Jackson",63,178,455,475,0,3,18,18,0,0.12,0.36,0.295081967213115,0.448979591836735,0.541666666666667,0.561688311688312,0.55521472392638,0.72,0.691176470588235,0.695945945945946,0.685897435897436,0.199729782248766,0.178731481784628,0.204583870928428,0.204419676749199,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.3,0.333333333333333,0.333333333333333,0.333333333333333,0.3,0.333333333333333,0.333333333333333,0.333333333333333,0.2,0.166666666666667,0.166666666666667,0.166666666666667,0.2,0.166666666666667,0.166666666666667,0.166666666666667
"1630544","Tre Mann",63,243,599,832,0,6,28,30,0,0.24,0.56,0.36144578313253,0.346666666666667,0.389121338912134,0.386481802426343,0.39,0.666666666666667,0.730769230769231,0.802816901408451,0.762376237623762,0.194864753463837,0.211517605406811,0.223006861650681,0.216008860545212,0.2,0.28,0.366666666666667,0.366666666666667,0,0.12,0.166666666666667,0.166666666666667,0,0.12,0.166666666666667,0.166666666666667,0,0.08,0.133333333333333,0.133333333333333,0,0.08,0.1,0.1
"1630547","James Bouknight",37,110,250,250,0,0,0,0,0,0,0,0,0.352941176470588,0.333333333333333,0.34375,0.34375,0.8,0.681818181818182,0.792452830188679,0.792452830188679,0.160108006358447,0.183384806544506,0.208465979028851,0.207670445708921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630549","Day'Ron Sharpe",41,100,259,259,1,1,9,9,0.1,0.04,0.18,0.18,0.576923076923077,0.527027027027027,0.561855670103093,0.561855670103093,0.888888888888889,0.5625,0.620689655172414,0.620689655172414,0.217524690806638,0.188481172505172,0.21017602663808,0.21017602663808,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
