"season","game_date","game_id","matchup","jumper","person_id","team_abbrev","opp_jumper","opp_person_id","opp_team_abbrev","home_team","won_tip","win_tip_prob","win_tip_prob_glmnet","win_tip_prob_earth","model","win_tip_prob_xtip"
"2016-17",2016-10-06,"11600026","SAC @ GSW","Zaza Pachulia","2585","GSW","Kosta Koufos","201585","SAC",TRUE,FALSE,0.372414253598847,0.352930656589535,0.333580859452956,"jumps_opp_jumps",0.343255758021245
"2016-17",2016-10-06,"11600023","MEM vs. ATL","Dwight Howard","2730","ATL","Marc Gasol","201188","MEM",FALSE,TRUE,0.512709631093479,0.516826967682854,0.518833610135721,"jumps_opp_jumps",0.517830288909287
"2016-17",2016-10-06,"11600021","WAS @ PHI","Joel Embiid","203954","PHI","Marcin Gortat","101162","WAS",TRUE,FALSE,0.362754216932694,0.319636518169444,0.17146820334711,"jumps_opp_jumps",0.245552360758277
"2016-17",2016-10-06,"11600022","CHI @ IND","Kevin Seraphin","202338","IND","Robin Lopez","201577","CHI",TRUE,FALSE,0.354444099684694,0.343623191245003,0.239707754005583,"jumps_opp_jumps",0.291665472625293
"2016-17",2016-10-06,"11600025","CHA vs. BOS","Amir Johnson","101161","BOS","Roy Hibbert","201579","CHA",FALSE,TRUE,0.542833625752287,0.538643617195432,0.524592545023761,"jumps_opp_jumps",0.531618081109597
"2016-17",2016-10-06,"11600026","SAC @ GSW","Kosta Koufos","201585","SAC","Zaza Pachulia","2585","GSW",FALSE,TRUE,0.627585746401153,0.647068991141989,0.666740420007811,"jumps_opp_jumps",0.6569047055749
"2016-17",2016-10-07,"11600027","PHX @ POR","Mason Plumlee","203486","POR","Alex Len","203458","PHX",TRUE,TRUE,0.41835885900254,0.410506279659721,0.398562314095882,"jumps_opp_jumps",0.404534296877801
"2016-17",2016-10-07,"11600028","LAL vs. DEN","Timofey Mozgov","202389","LAL","Jusuf Nurkic","203994","DEN",TRUE,FALSE,0.510728015330305,0.503299841993575,0.508725298225788,"jumps_opp_jumps",0.506012570109682
"2016-17",2016-10-07,"11600027","PHX @ POR","Alex Len","203458","PHX","Mason Plumlee","203486","POR",FALSE,FALSE,0.58164114099746,0.589493646185522,0.601787377668585,"jumps_opp_jumps",0.595640511927054
"2016-17",2016-10-07,"11600028","LAL vs. DEN","Jusuf Nurkic","203994","DEN","Timofey Mozgov","202389","LAL",FALSE,TRUE,0.489271984669695,0.496699862333621,0.491554752695127,"jumps_opp_jumps",0.494127307514374
"2016-17",2016-10-08,"11600034","DAL @ MIL","Greg Monroe","202328","MIL","Andrew Bogut","101106","DAL",TRUE,TRUE,0.365093824388916,0.35440170824104,0.323098476707401,"jumps_opp_jumps",0.33875009247422
"2016-17",2016-10-08,"11600031","NYK vs. BKN","Kristaps Porzingis","204001","NYK","Brook Lopez","201572","BKN",TRUE,TRUE,0.339242609051328,0.322545885759027,0.168159611533847,"jumps_opp_jumps",0.245352748646437
"2016-17",2016-10-08,"11600033","CLE vs. PHI","Joel Embiid","203954","PHI","Chris Andersen","2365","CLE",FALSE,TRUE,0.504208729053834,0.502753594871345,0.409958534579722,"jumps_opp_jumps",0.456356064725534
"2016-17",2016-10-08,"11600035","SAS vs. ATL","Pau Gasol","2200","SAS","Edy Tavares","204002","ATL",TRUE,TRUE,0.635887857355181,0.647835336120678,0.76601079199296,"jumps_opp_jumps",0.706923064056819
"2016-17",2016-10-08,"11600034","DAL @ MIL","Andrew Bogut","101106","DAL","Greg Monroe","202328","MIL",FALSE,FALSE,0.634906175611084,0.64559822990662,0.677108017583935,"jumps_opp_jumps",0.661353123745278
