"tidyplayer","tidyamericanodds","prop","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","tidyou","tidyexact_shot","tidyshot_points","game"
"Dejounte Murray",800,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"Duncan Robinson",800,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"Haywood Highsmith",1000,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"Kyle Lowry",1100,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"Donovan Mitchell",450,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Andrew Wiggins",600,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Klay Thompson",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Jarrett Allen",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Evan Mobley",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Stephen Curry",700,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Kevon Looney",750,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Darius Garland",850,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Draymond Green",1100,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Max Strus",1100,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Jayson Tatum",500,"first player to score","TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"TOR @ BOS"
"Jaylen Brown",550,"first player to score","TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"TOR @ BOS"
"Kristaps Porzingis",550,"first player to score","TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"TOR @ BOS"
"Jrue Holiday",650,"first player to score","TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"TOR @ BOS"
