"prop","tidyplayer","tidyamericanodds","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","tidyou","tidyexact_shot","game"
"first player to score by team","Jalen Suggs",450,"MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIL @ ORL"
"first player to score by team","Brook Lopez",450,"MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIL @ ORL"
"first player to score by team","Markelle Fultz",550,"MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIL @ ORL"
"first player to score by team","Malik Beasley",600,"MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIL @ ORL"
"first player to score by team","Cameron Payne",700,"MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"MIL @ ORL"
"first player to score by team","Donovan Mitchell",190,"CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"CLE @ GSW"
"first player to score by team","Stephen Curry",270,"CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"CLE @ GSW"
"first player to score by team","Klay Thompson",280,"CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"CLE @ GSW"
"first player to score by team","Darius Garland",300,"CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"CLE @ GSW"
"first player to score by team","Andrew Wiggins",340,"CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"CLE @ GSW"
"first player to score by team","Jarrett Allen",390,"CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"CLE @ GSW"
"first player to score by team","Draymond Green",420,"CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"CLE @ GSW"
"first player to score by team","Evan Mobley",450,"CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"CLE @ GSW"
"first player to score by team","Kevon Looney",450,"CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"CLE @ GSW"
"first player to score by team","Max Strus",550,"CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"CLE @ GSW"
"first player to score by team","Brook Lopez",325,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIL @ ORL"
"first player to score by team","Giannis Antetokounmpo",280,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIL @ ORL"
"first player to score by team","Damian Lillard",325,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIL @ ORL"
"first player to score by team","Malik Beasley",475,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIL @ ORL"
"first player to score by team","Khris Middleton",350,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIL @ ORL"
"first player to score by team","Markelle Fultz",325,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIL @ ORL"
"first player to score by team","Goga Bitadze",475,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIL @ ORL"
"first player to score by team","Paolo Banchero",290,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIL @ ORL"
"first player to score by team","Franz Wagner",260,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIL @ ORL"
"first player to score by team","Jalen Suggs",450,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIL @ ORL"
"first player to score by team","Dennis Schroder",500,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"TOR @ BOS"
"first player to score by team","Pascal Siakam",280,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"TOR @ BOS"
"first player to score by team","Scottie Barnes",290,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"TOR @ BOS"
"first player to score by team","Jakob Poeltl",350,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"TOR @ BOS"
"first player to score by team","OG Anunoby",350,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"TOR @ BOS"
"first player to score by team","Kristaps Porzingis",280,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"TOR @ BOS"
"first player to score by team","Jrue Holiday",400,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"TOR @ BOS"
"first player to score by team","Jayson Tatum",325,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"TOR @ BOS"
"first player to score by team","Jaylen Brown",250,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"TOR @ BOS"
"first player to score by team","Derrick White",550,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"TOR @ BOS"
"first player to score by team","Clint Capela",300,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIA @ ATL"
"first player to score by team","Jalen Johnson",450,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIA @ ATL"
"first player to score by team","De'Andre Hunter",400,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIA @ ATL"
"first player to score by team","Trae Young",300,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIA @ ATL"
"first player to score by team","Dejounte Murray",300,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIA @ ATL"
"first player to score by team","Kyle Lowry",500,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIA @ ATL"
"first player to score by team","Bam Adebayo",140,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIA @ ATL"
"first player to score by team","Jaime Jaquez Jr.",550,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIA @ ATL"
"first player to score by team","Duncan Robinson",350,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIA @ ATL"
"first player to score by team","Haywood Highsmith",475,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"MIA @ ATL"
"first player to score by team","Jarrett Allen",300,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"CLE @ GSW"
"first player to score by team","Donovan Mitchell",260,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"CLE @ GSW"
"first player to score by team","Evan Mobley",400,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"CLE @ GSW"
"first player to score by team","Max Strus",550,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"CLE @ GSW"
"first player to score by team","Darius Garland",300,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"CLE @ GSW"
"first player to score by team","Kevon Looney",375,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"CLE @ GSW"
"first player to score by team","Draymond Green",475,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"CLE @ GSW"
"first player to score by team","Stephen Curry",290,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"CLE @ GSW"
"first player to score by team","Klay Thompson",300,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"CLE @ GSW"
"first player to score by team","Andrew Wiggins",325,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:24,NA,NA,"CLE @ GSW"
