"prop","tidyplayer","tidyshot_points","tidyamericanodds","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","game"
"fpts shot points","Khris Middleton","two_point",1000,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Khris Middleton","three_point",2200,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Markelle Fultz","two_point",1000,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Markelle Fultz","three_point",3500,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Goga Bitadze","two_point",1200,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Goga Bitadze","three_point",8000,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Paolo Banchero","two_point",850,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Paolo Banchero","three_point",4000,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Franz Wagner","two_point",850,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Franz Wagner","three_point",2500,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Jalen Suggs","two_point",1600,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Jalen Suggs","three_point",3000,"MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:36,"MIL @ ORL"
"fpts shot points","Dennis Schroder","two_point",1600,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Dennis Schroder","three_point",4000,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Pascal Siakam","two_point",800,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Pascal Siakam","three_point",4000,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
